event_size,cpu_time,gpu_time,speedup,cpu_seeds,gpu_seeds,seed_matches
135090,1.178,0.134,8.79104,42846,42847,42846
147995,1.454,0.164,8.86585,50301,50301,50297
144692,1.418,0.16,8.8625,49719,49719,49715
145838,1.359,0.152,8.94079,47702,47703,47699
174663,2.129,0.234,9.09829,62632,62632,62630
150766,1.543,0.175,8.81714,52017,52017,52013
156940,1.626,0.184,8.83696,54016,54016,54015
180161,2.336,0.261,8.95019,66819,66819,66811
160829,1.715,0.189,9.07407,54863,54864,54863
128708,1.037,0.122,8.5,39863,39863,39861
154586,1.573,0.176,8.9375,53424,53423,53417
163079,1.842,0.206,8.94175,58889,58889,58887
161509,1.786,0.201,8.88557,57445,57445,57442
176034,2.111,0.235,8.98298,63020,63020,63018
151890,1.527,0.174,8.77586,51695,51695,51695
186465,2.398,0.259,9.25869,66976,66976,66973
167343,1.963,0.221,8.88235,61558,61558,61556
143942,1.347,0.155,8.69032,47185,47185,47183
175251,2.177,0.239,9.10879,63976,63977,63971
145242,1.451,0.166,8.74096,49706,49706,49704
135031,1.182,0.136,8.69118,43487,43487,43487
136885,1.215,0.141,8.61702,44761,44761,44759
163938,1.885,0.216,8.72685,58899,58899,58895
143039,1.319,0.148,8.91216,46676,46676,46676
158417,1.801,0.2,9.005,56375,56376,56373
164359,1.846,0.205,9.00488,59233,59232,59228
176498,2.112,0.231,9.14286,62088,62088,62082
149981,1.52,0.173,8.78613,52890,52890,52884
172317,2.07,0.231,8.96104,61325,61325,61323
188026,2.522,0.279,9.03943,68266,68266,68257
196044,2.789,0.305,9.14426,75062,75062,75057
173923,2.09,0.231,9.04762,63024,63025,63020
181166,2.401,0.264,9.0947,69361,69361,69353
176335,2.213,0.25,8.852,64740,64738,64726
192654,2.83,0.318,8.89937,75585,75585,75578
169433,2.023,0.223,9.07175,62446,62446,62443
186378,2.535,0.277,9.15162,69825,69825,69818
179093,2.298,0.254,9.04724,64677,64677,64667
193560,2.726,0.296,9.20946,71588,71587,71572
177207,2.173,0.23,9.44783,63128,63128,63123
180403,2.309,0.251,9.1992,64299,64299,64294
197292,2.87,0.313,9.16933,76044,76044,76037
164839,1.867,0.205,9.10732,57444,57445,57440
220842,3.883,0.42,9.24524,90626,90626,90605
174183,2.138,0.237,9.0211,62022,62022,62020
215928,3.424,0.375,9.13067,83153,83153,83146
186813,2.538,0.277,9.16245,67852,67852,67850
175785,2.108,0.232,9.08621,60006,60006,60003
198766,2.972,0.317,9.37539,76316,76317,76303
191302,2.724,0.299,9.11037,73969,73969,73954
189338,2.722,0.301,9.04319,71660,71660,71660
169297,2.094,0.233,8.98712,62324,62325,62318
190814,2.578,0.274,9.40876,69307,69307,69306
172350,2.194,0.239,9.17992,63965,63966,63961
194785,2.867,0.313,9.15974,75128,75128,75124
213102,3.607,0.398,9.06281,86626,86626,86608
181473,2.304,0.256,9,65248,65246,65237
189190,2.588,0.276,9.37681,70955,70954,70941
203013,3.203,0.344,9.31105,78762,78762,78754
179709,2.403,0.259,9.27799,66551,66553,66542
235431,4.631,0.505,9.1703,95547,95547,95534
161063,1.781,0.193,9.22798,54275,54272,54268
198538,3.035,0.329,9.22492,76542,76542,76526
184662,2.497,0.271,9.21402,69830,69830,69829
165814,2.025,0.225,9,62171,62171,62169
182831,2.449,0.27,9.07037,66896,66896,66892
200321,3.087,0.333,9.27027,77478,77478,77465
186574,2.587,0.279,9.2724,68832,68832,68829
181051,2.246,0.246,9.13008,62766,62766,62764
170865,2.164,0.239,9.05439,63221,63221,63217
170620,2.082,0.227,9.17181,61360,61361,61356
195772,2.952,0.313,9.43131,74194,74194,74190
185159,2.516,0.271,9.28413,69176,69176,69167
177937,2.338,0.252,9.27778,65948,65948,65944
198014,2.971,0.313,9.49201,76323,76322,76311
193964,2.761,0.292,9.45548,72959,72959,72948
162158,1.803,0.197,9.15228,57295,57295,57293
181945,2.496,0.273,9.14286,68514,68514,68511
208622,3.433,0.38,9.03421,83381,83381,83375
157696,1.691,0.183,9.24044,52665,52665,52661
184605,2.546,0.278,9.15827,69534,69535,69525
152042,1.567,0.174,9.00575,50380,50380,50378
195121,2.834,0.309,9.17152,72323,72323,72317
187336,2.572,0.269,9.56134,70223,70223,70219
189711,2.791,0.297,9.39731,73698,73699,73676
182018,2.342,0.251,9.33068,65519,65520,65507
206555,3.331,0.351,9.49003,81300,81300,81285
211424,3.373,0.354,9.52825,80392,80393,80362
200348,2.993,0.309,9.68608,74198,74198,74188
200688,2.941,0.313,9.39617,73283,73283,73278
170163,2.08,0.233,8.92704,61648,61646,61641
192683,2.734,0.289,9.46021,72793,72793,72784
177808,2.285,0.246,9.28862,65939,65938,65936
173528,2.13,0.235,9.06383,63048,63049,63043
204811,3.277,0.35,9.36286,81237,81237,81229
197748,2.91,0.315,9.2381,74433,74433,74429
178627,2.258,0.246,9.17886,63833,63833,63830
210617,3.426,0.376,9.1117,83383,83384,83373
186818,2.491,0.274,9.09124,66430,66430,66420
190811,2.751,0.295,9.32542,70439,70439,70433
176306,2.217,0.244,9.08607,63074,63074,63073
188646,2.647,0.29,9.12759,70325,70324,70323
176670,2.274,0.25,9.096,65866,65866,65861
176214,2.202,0.241,9.13693,64362,64363,64356
218495,3.81,0.405,9.40741,87132,87131,87116
177134,2.349,0.255,9.21176,66203,66203,66192
199210,3.046,0.335,9.09254,78302,78302,78296
207032,3.352,0.352,9.52273,81260,81260,81253
196332,2.968,0.307,9.66775,76621,76622,76615
171141,2.078,0.229,9.07424,61246,61246,61244
182932,2.492,0.27,9.22963,69100,69101,69094
205254,3.201,0.343,9.33236,79538,79538,79525
190292,2.621,0.285,9.19649,71435,71435,71434
217983,3.542,0.363,9.75758,82045,82046,82035
187283,2.56,0.269,9.51673,67527,67526,67518
206276,3.163,0.332,9.52711,77313,77315,77309
213730,3.478,0.37,9.4,83906,83907,83893
188802,2.615,0.287,9.1115,68432,68432,68418
216954,3.689,0.4,9.2225,84833,84834,84824
167664,2.069,0.229,9.03493,59510,59510,59503
161876,1.849,0.202,9.15347,55939,55939,55936
181232,2.393,0.257,9.31128,67188,67188,67180
191568,2.892,0.316,9.1519,74631,74631,74621
188770,2.65,0.286,9.26573,70901,70901,70889
200917,3.169,0.333,9.51652,78578,78578,78573
207342,3.279,0.351,9.34188,82624,82622,82608
215476,3.573,0.37,9.65676,83848,83849,83835
