event_size,cpu_time,gpu_time,speedup,cpu_seeds,gpu_seeds,seed_matches
207032,3.29228,0.788558,4.17507,81260,81260,81248
196332,2.92207,0.737318,3.96311,76621,76621,76609
171141,2.03873,0.544803,3.74213,61246,61246,61240
182932,2.41174,0.634302,3.80219,69100,69100,69085
205254,3.20251,0.783015,4.08997,79538,79538,79518
190292,2.57019,0.654258,3.92841,71435,71435,71429
217983,3.43002,0.82072,4.17928,82045,82045,82028
187283,2.51722,0.68348,3.68294,67527,67527,67518
206276,3.11668,0.796189,3.91449,77313,77313,77302
213730,3.43873,0.874821,3.93078,83906,83906,83896
188802,2.60102,0.654591,3.9735,68432,68432,68413
216954,3.67025,0.838765,4.37578,84833,84833,84821
167664,2.03694,0.561048,3.6306,59510,59510,59498
161876,1.80763,0.522488,3.45965,55939,55939,55938
181232,2.30947,0.605458,3.81441,67188,67188,67183
191568,2.84043,0.751634,3.77901,74631,74631,74613
188770,2.64866,0.663539,3.99172,70901,70901,70881
200917,3.14582,0.79579,3.95307,78578,78577,78559
207342,3.24292,0.782351,4.1451,82624,82624,82617
215476,3.52732,0.841863,4.1899,83848,83848,83827
185489,2.58459,0.664916,3.88709,73236,73236,73223
270078,6.32109,1.4407,4.38752,116198,116198,116162
259602,5.74901,1.24816,4.606,109875,109875,109830
288599,7.43234,1.52311,4.8797,127943,127943,127880
278383,6.82706,1.45134,4.70398,118479,118479,118441
275646,6.8088,1.43484,4.74534,120523,120523,120478
239884,4.76784,1.11137,4.29006,98157,98157,98119
